,INPUTS,,OUTPUTS
X230,Z AXIS FFR,Y220,TURRET FWD
X231,C.T.S FILTE DIRTY,Y221,SPINDLE HIGH GEAR OUTPUT
X232,COOLANT HIGH LEVEL,Y222,OIL SKIMMER
X233,SPINDLE HIGH GEAR DETECT,Y223,CHIP REMOVE COOLANT
X234,SPINDLE LOW GEAR DETECT,Y224,COOLANT THROU SPINDLE OUTPUT
X235,MANUAL TOOL UNCLAMP,Y225,ALARM LAMP
X236,MAG RETURN/TOOL POT UP,Y226,CHIP CONVEYER BACKWARD
X237,LUBE LOW LEVEL,Y227,SPINDLE EXEC AIR BLOW
X238,AIR PRESSURE DETECT,Y228,WORK LAMP
X239,SPINDLE TOOL UNCLAMP L.S,Y229,MAGAZINE RETURN/TOOL POT UP
X23A,SPINDLE COOLER ERROR DETECT,Y22A,SPD TOOL UNCLAMP
X23B,SPINDLE FAN OVER LOAD,Y22B,TURRET REV
X23C,4th CLAMP DETECT,Y22C,MAGAZINE C.C.W
X23D,SPINDLE TOOL CLAMP L.S,Y22D,TURRET SSR OUTPUT
X23E,ARM ZERO POINT DETECT,Y22E,COOLANT PUMP
X23F,MAG TERMINAL OVERLOAD INPUT,Y22F,PROGRAM END LAMP
X240,C.T.S HIGH LEVEL,Y230,Fixture Clamp
X241,COOLANT LOW LEVEL,Y231,Fixture Unclamp
X242,LUBE PRESSURE DETECT,Y232,Hydraulic Motor
X243,MAG HOME DETECT,Y233,4th Unclamp
X244,MOTOR OVERLOAD,Y234,SUCK MOTOR
X245,MAG TOOL DETECT,Y235,CYCLE START LAMP
X246,MAG EXTEND/TOOL POT DOWN,Y236,CHIP Conveyer Motor FORWARD
X247,MAG COUNTER SENSOR,Y237,SPINDLE COOLER UNIT
X248,PROBE LOW BATTERY,Y238,MAGAZINE BREAK
X249,SPN CL / DECL OIL LEVEL LOW,Y239,Cutting AIR BLOW
X24A,ARM TERMINAL OVERLOAD INPUT,Y23A,MAG EXTEND/TOOL POT DOWN
X24B,4TH REFERENCE S.W,Y23B,LUBRICATION PUMP
X24C,4th UNCLAMP DETECT,Y23C,MAG C.W MAGAZINE CLOCKWISE
X24D,ARM IN MIDDLE DETECT,Y23D,ARM MOTOR C.W OUTPUT
X24E,ARM IN STOP POINT DETECT,Y23E,ARM BRAKE
X24F,TOOL MEASURE ERROR,Y23F,SPINDLE LOW GEAR OUTPUT
X250,FIXTURE CLAMP DETECT,,
X251,FIXTURE UNCLAMP DETECT,,
X252,LEFT-SIDE DOOR INTERLOCK,,
X253,CE MODE SERVO READY,,
X254,CE MODE HANDWHEEL ENABLE,,
X255,THERMAL OVER LOAD,,
X256,TURRET CLAMP,,
X257,STROBE SIGNAL,,
X258,PARITY,,
X259,X AXIS OVER TRAVEL (LIMIT SW),,
X25A,MAGAZINE DOOR OPEN DETECT,,
X25B,BIT 1,,
X25C,BIT 2,,
X25D,BIT 4,,
X25E,BIT 8,,
X25F,BIT 16,,
X0,NEW 1,,
X1,NEW 2,,
X2,NEW 3,,
X3,NEW 4,,
X4,NEW 5,,
X5,NEW 6,,
X6,NEW 7,,
X7,NEW 8,,
X8,NEW 9,,
X9,NEW 10,,
XA,NEW 11,,
XB,NEW 12,,
XC,NEW 13,,
XD,NEW 14,,
XE,NEW 15,,
XF,NEW 16,,
