M CODE,DESCRIPTION
M00,PROGRAM STOP
M01,OPTIONAL STOP
M02,END OF PROGRAM
M03,SPINDLE CLOCKWISE
M04,SPINDLE COUNTER CLOCK WISE
M05,SPINDLE STOP
M06,AUTOMATIC TOOL CHANGE
M07,CUTTING AIR BLOW ON
M08,COOLANT ON
M09,M07/M08/M18 OFF
M10,4TH AXIS CLAMP
M11,4TH AXIS UNCLAMP
M18,CTS ON
M19,SPINDLE ORIENTATION
M30,PROGRAM RESET & REWIND
M38,FLUSH COOLANT ON
M39,FLUSH COOLANT OFF
M50,CONVEYOR ON
M51,CONVEYOR OFF
M98,SUB- PROGRAM CALL
M99,SUB- PROGRAM END
M200,SMALL TOOL TABLE RESET
M201,1 BIG TOOL ENABLE
M202,2 BIG TOOL ENABLE
M203,3 BIG TOOL  ENABLE
M204,4 BIG TOOL ENABLE
